Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
STS Caroline High Waist Straight Leg Jeans,STS Caroline High Waist Straight Leg Jeans,$29.40,40%,https://n.nordstrommedia.com/id/sr3/d4439035-6a20-4c5a-8c85-241c80f1a6e4.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.2 out of 5,(5),"[['favorite', 'These are the most comfortable and flattering jeans i own. I seriously took a nap in them today... they are that comfortable. I’m 5’10” and have pretty muscular legs. Most the time jeans are too tight on my calfs. I’m sure these are meant to be longer... but that’s just how it goes for me. They aren’t too high waisted, but still just right. Love them.', '80'], ['Love these pants!!', ""First time ordering this brand and I love these pants. I got them on clearance and can't believe how great they are. Super cute and trendy. True boyfriend style without being too baggy. These runs true to size. I wish they had. Them in another wash."", '80'], ['LOVE these jeans', 'I’m always a 28, got a 28, fit perfect. Like another review said, these are SO comfy. Normally I want to take my jeans off and trade them for sweats when I get home...not these. And sale price is awesome.', '80'], ['comfy and good fit', 'Casual and cute jeans. Fit like a glove.', '80'], ['STS Jeans', 'Nothing special about these jeans, they were just ok. The waist ran big even though the rest of the jeans fit well. I’m usually a 26.', '16']]",11 people are viewing,"These cropped, straight-leg jeans feature an easy light wash and edgy rips for casual-cool charm."
Jamie Ripped High Waist Crop Skinny Jeans,Jamie Ripped High Waist Crop Skinny Jeans,$75.00,,https://n.nordstrommedia.com/id/sr3/4636ed12-7c5d-4fd3-a157-bcadeba08b95.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.4 out of 5,(30),"[['Cute, but size up', ""Topshop sizing is significantly smaller than other US brands. I'm 5'9'', wears size 0 or 25 in most brands. I ordered these jeans in 26W/30L. They were SOOOO short on me and hit way above my ankles. They were also a bit tight, but they would stretch out with wear. I exchanged for a 28W/32L for a more comfortable fit and the length was perfect. I love the distress and wash. They are very cute and stylish, comfort to wear and they make your butt look amazing."", '80'], ['a bit tight bue still great!', 'I bought my normal size 26, a bit tiny than usual, but it still makes me look great so I kept it anyway. The color is actually lighter than the picture, but I absolutely love the actual color better!', '64'], ['Love love love', 'Perfect amount of stretch. I love these jeans! So flattering!!!', '80'], ['Cute Jeans', 'I wanted to give these jeans 5 stars. I love the fit and the style! However, on my first day of wearing them, the back ripped when I pulled them back up after peeing.', '64'], ['Perfect length but a little tight', 'I’m 5’4 and these are the first pair of jeans I don’t have to roll up! And I love them for that! They fit pretty tight and I ordered a 4 which is what I normally where but are easy to move around in and go right above my ankle! Would highly suggest to anyone!', '64']]",7 people are viewing,"Rock an edgy, lived-in look in these stretchy cropped skinnies styled with stylishly ripped knees."
The Looker High Waist Nick Fray Ankle Skinny Jeans,The Looker High Waist Nick Fray Ankle Skinny Jeans,$180.60,30%,https://n.nordstrommedia.com/id/sr3/f08f6d70-524e-4176-a259-5081c6cbfafd.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.7 out of 5,(6),"[['Runs Super Small', 'I always wear a 27 in Mother denim. And I had to return and return again to go up to a 29 in these. They were tiny! But now that I have them in a size that fits, they are darling!', '80'], ['Worth the $$', 'Super comfy. Love the fit & the colour', '80'], ['love!!', 'These jeans are worth every penny. So comfortable and stylish', '80'], ['UMMM SO SMALL!', 'Ordered my usual size, 31, could barely get them over my thighs :( total bummer cuz they’re cute! Def more of a gray color in person!', '48'], ['Love the color', 'These look exactly as the picture I got size 24. In The tomcat style I’m a 23 and in Levi’s I’m a 24 so I’d say they run tts since the waist really has no stretch I’m 5’2 and I’m going to have to get them hemmed about 2 inches to fit like the model but I love the color of them and the fit.', '80']]",9 people are viewing,High-rise stretch skinnies in a faded grey wash are scuffed up and shredded to look like old favorites from the first wear.
Jamie High Waist Skinny Jeans,Jamie High Waist Skinny Jeans,$34.99,50%,https://n.nordstrommedia.com/id/sr3/0ae3153f-e1cb-4fdf-a76a-3803d4b1e892.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.2 out of 5,(16),"[['Perfect Fit', 'I’ve been looking for the perfect pair of white denim jeans and I’m so glad I decided to give these a try. I’m 4’10 and I got the 28W, 28L and they fit me perfectly. They also have a good amount of stretch which I appreciate since I gained a little weight during quarantine. I also love the off white color so your underwear isn’t completely see through versus a pair of pure white denim. Would definitely recommend!', '80'], ['Mediocre Jeans', ""These are mediocre at best, they run at least two sizes too small, which is shown in the sizing chart, I am a 26, ordered a 28 and they are almost too tight, very uncomfortable. I'm 5'10 and these are too short. Typically, regular length jeans fall at a perfect length for ankle jeans but these are mid calf. And the color is off white with visible stitching."", '48'], ['Not for pairs, Run small', 'Fit like leggings (not the wrinkling on the models leg and crotch. I found these to be see through (you could see the pockets through the fabric). in topshop I am a 32W (29 in Madewell and Levis), and these pants were the most unforgiving. every wrinkle or dimple came through on these pants and the jeans wrinkled and cut into some areas. If you are a true pair body type, these likely are no the white jeans for you.', '48'], ['Jamie High Waist', 'El material del pantalón está súper pero corre muy grande.', '48'], ['perfect white jeans', 'Very good quality jeans! Stretchy and comfy!', '80']]",23 people are viewing,"Contrast stitching accentuates the slim, high-waist cut of stretch-denim skinny jeans that are everyday go-tos."
Jamie Brooklyn Rip High Waist Skinny Jeans,Jamie Brooklyn Rip High Waist Skinny Jeans,$40.00,50%,https://n.nordstrommedia.com/id/sr3/268e6028-2fb7-417f-973c-b82d72c02afe.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.7 out of 5,(3),"[[""Size up, didn't like the distressing"", ""Love the wash, I didn't like the placement of the tear of the thigh however, being a hippy woman having the tear in the top of my thigh means i had a little bit of thigh bulge coming which was not my most preferred look. I had to size up for these, in Madewell and Levi's I am a 29W, but in these I was a 32W. If it werent for the distress i would have gotten these. Fit a lot like leggings."", '64'], ['my favorite jeans', 'I love the. The material is so great and shapes your body and I got them on sale this is a great deal', '80'], ['THE MOST FLATTERING PAIR OF JEANS', 'This was an amazing purchase.', '80']]",282 people are viewing,"These flattering bleached skinnies feature edgy rips for a perfect, casual-cool vibe."
10-Inch High Waist Skinny Jeans,10-Inch High Waist Skinny Jeans,$128.00,5% ,https://n.nordstrommedia.com/id/sr3/e25b07c3-8fb6-4e5f-a9b4-cafd396a6c86.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.3 out of 5,(26),"[['Almost... (Darn)', ""Based on other reviews, I imagined the denim to be of a more substantial weight. While they are certainly comfortable and do allow for liberal movement, I really wanted slightly less stretch and a mid weight denim on the higher end. I found the bunching at the knees and below the derriere to be unflattering. Perhaps in a darker denim this would be less prominent. Also, I have seen more flattering back pocket size and placement, such as some of J Crew's Toothpick line (not the white, unfortunately). I wear a size 24 and these jeans fit true to size, especially if you plan for some stretch over time. I returned these immediately and will keep looking."", '48'], ['LOVE THESE!', 'I am almost 6 ft tall, long waisted and 170 lbs. These fit amazing. Nice high waist , no muffin top. Length is perfect and there not sheer. They are a comfortable skinny jean, snug in the calves. I love these so much I just ordered more in denim.', '80'], ['Just Cant Wear These', 'These are very nice jeans. I’m reassessing skinny jeans in my wardrobe. Especially with the white color of these jeans, the skinny below the knee looks “wrong.” Looking for cigarette jeans with a 12” leg opening. If you like skinny, these are great!', '64'], ['Best white jeans!', 'I’m 5’ 7 and 140pounds size 27 fits like a glove! The jeans are for slim tall girls! They have a nice high waist and pretty skinny at the calves. The white fabric is thicker, have a nice stretch and bright white color that look more on the higher end! Best pair of white jeans!', '80'], ['I like them but they run small', 'Usually size 29 is fine. I wear Madewell jeans all the time but these run smaller.', '64']]",5 people are viewing,Madewell's high-rise skinny jeans are lean and legs-for-days sexy in specially woven white denim with zero show-through.
Flawless - The Charlie High Waist Ankle Skinny Jeans,Flawless - The Charlie High Waist Ankle Skinny Jeans,$158.00,,https://n.nordstrommedia.com/id/sr3/c96c5ab3-6691-44f4-a7c8-6f318794ca77.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.0 out of 5,(11),"[['Amazing fit!', 'I’m on the curvier side and these jeans hug me in all of the right places. Definitely worth the money!', '80'], ['These jeans are everything', 'It’s never been easy for me to find a good pair of jeans since I have a unique shape. These are gorgeous. So comfy, fit is amazing and the fabric fees soft but durable. I am so glad I took a risk and bought these online. I’m 5’5” 135lbs, usually a size 4 in American eagle jeans if that helps. I took advice and sized up from a 26 or 27 to a 28. Length is great. They fit just right without being too lose or too tight. Hopefully they do t stretch out a lot- they really don’t feel like they do. A great price for Joes Jeans too.', '80'], ['nice jeans', 'These were nice jeans but just didn’t fit me right in waist area. I felt they were short waisted. Sadly had to return', '64'], ['The Charlie', 'This was my first time getting a pair of Joe\'s jeans and they\'re pretty soft. I\'m 5\'4"", 125lbs and I got a size 28 which fit perfectly. The length was perfect (wasn\'t expecting that) and I love the color.', '64'], ['Perfect Jean', 'Perfect fit. True to size. My new favorite jean.', '80']]",9 people are viewing,"Boost your denim game with subtly faded, luxuriously soft skinny jeans with a flattering high waist for a legs-for-days aesthetic."
The Farrah High Waist Ankle Skinny Jeans,The Farrah High Waist Ankle Skinny Jeans,$225.00,,https://n.nordstrommedia.com/id/sr3/3c2399a0-3246-45e9-b898-f461054ea6e2.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.6 out of 5,(31),"[['Incredible fit, runs true to size', 'I have four pairs of Farrah’s and these are my favorite. They run true to size, don’t lose shape and generally look fabulous. I wish all Farrahs were made with this thickness of denim. It’s not super thick like some other pairs but also not as thin as the Brooks (which are too thin, lose shape and are generally overrated, in my opinion). Love these jeans!', '80'], ['AG makes the best denim', 'I wear ALOT of brands: SFAM, Frame, Hudson, R&B, you name it. But the pairs of AG I have are my favorites. Their denim blend is the perfect amount of stretch and their pockets are in the right place (making your bum look great when you don’t have a great bum.) This pair has that great frayed hem and distressing that will never go out of style. Huge plus is getting them on sale. Thanks Nordstrom!!', '80'], ['great pair of jeans', 'TTS and very flattering; love these jeans', '64'], ['The BEST Jean!!!', 'AG is 1 of my favorite brands & the Farrah always fits great!! Higher rise! I’m 5”6 & I don’t have to have any of the ankle styles hemmed!! Love this particular pair too because of the wash & frayed hem!!! A MUST!!!', '80'], ['Perfect high rise jean', ""These are my first Farrah jeans. I have lots of the AG Legging/super skinny jeans. These are higher rise which I like. Same great fit and quality that I love in the AG's. I am petite and the rise is not too high."", '80']]",14 people are viewing,"Laid-back and California-cool, these light-wash skinny jeans flatter every curve from the high waist to the eye-catching chewed hems."
Jamie Fray Hem High Waist Skinny Jeans,Jamie Fray Hem High Waist Skinny Jeans,$70.00,,https://n.nordstrommedia.com/id/sr3/d8511288-3733-46ee-bb39-60bd360b2e3e.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.6 out of 5,(30),"[['You need these jeans in your life', 'Love love LOVE these jeans! Super comfortable stretchy fabric. I plan on buying more in different washes.', '80'], ['Best Pair of Jeans EVER!!!', 'I love these jeans love how they fit my body and how amazing they stretch too!!! I am usually 27 waist I ordered 28 that fits like a 27 and I’m so In love!', '80'], ['awesome jeans', ""Ok I really love these jeans. I'm going to give some guidance on the sizing so you dont have to play with returns like i did. So i am a comfortable 6 in most pants,4 sometimes. I have a big booty and a small waist. I did as the size guide instructed and went up a size for the 30w. Got them and they fit but were loose and not as fitted as I wanted on the waist. Keeping in mind these jeans are stretchy I decided to exchange for 28W which is my regular size, They fit great. If you are straight up and down go ahead and follow guidelines but if you have a booty and need these pants to hug your waist go with regular size"", '80'], ['very flattering jeans', 'It’s the basic blue jeans very flattering and true to size. Topshop jamie jeans is perfect for curvy girls I’m 5’3 and 164 Ibs i got 32/30 it fits amazing', '80'], ['short', 'I am 5’3” and usually have a problem with bottoms being too long, but these were oddly short, they didn’t even reach near my ankles. Ended up returning and buying a different pair of the Jamie jeans', '32']]",9 people are viewing,"A touch of fraying at the hems gives these faded stretch skinnies a more casual, lived-in look."
Jeggings,Jeggings,$64.00,,https://n.nordstrommedia.com/id/sr3/c1f6d2d6-19b7-4a54-940d-58f79e239ba7.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.5 out of 5,(625),"[['favorite jeggings', 'These jeggings are soft and comfortable. I could wear these all day. The only complaint I have is the inseam wears quickly and thinning as soon in the picture. I plan to buy another pair. I’m normally a size 8P, but size 6P fix’s great', '64'], ['awesome jeans', 'love this jeans. I am short just 5 feet and 126 pounds. its hard for me to find jeans which fits me. I lost my most fav jeans few months ago, tired to find perfect jeans in last couple of months, could not, fortunately found this 2 days ago, size 0 petite perfectly fits me.', '80'], ['Comfortable', 'The color and length are perfect. I am 5’2” and the length for a petite hits right at the ankle. They do run large. I am glad that I read the description and ordered one size down. They are stretchy but hold shape.', '64'], ['perfect', 'These were the perfect find. Light got the summer and perfect fit', '80'], ['love them', 'Love these pants. They fit very well and are comfortable. The only reason for the 4 stars is the waistband. I wish it would move (stretch) in the same direction as the rest of the pants. Because the material is cut in a different direction it tends to not have as much give as the rest of the pant and so you do not have that smooth transition from pant to waistband', '64']]",19 people are viewing,Light whiskering enhances the svelte skinny fit of closet-essential jeans cut from exceptionally soft and comfortable stretch denim.
