Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
SHEIN Men Drop Shoulder Color Block Tee,SKU: smtop07200521378,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/26/15904584985420a93e732eb651a0cc270b49ca1083_thumbnail_900x.webp,4.9,137 Reviews,"[['', 'Soy small y me quedó demasiado de grande, bajen el tamaño. Esta hermosa.', '4.9'], ['', 'Love the colors. Soft shirt! Good material.', '4.9'], ['', 'Fire', '4.9']]",137 Reviews,
Tie Dye Drop Shoulder Oversized Tee,SKU: swtee01200601837,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/03/1591177051cb6140373a8c3fd8e5eafc7c0ec50d70_thumbnail_900x.webp,4.7,6867 Reviews,"[['', 'I ordered a medium because i wanted it to be more oversized but i should’ve just stuck with the small because that still would’ve been oversized enough, but super soft and great purchase!', '4.7'], ['', 'small fits like a large. I’d advice not to size up because the small is good enough for the oversized fit', '4.7'], ['', 'Color is way paler than the picture. Thin material (more than expected) and enough oversized. So do not size up ladies!', '4.7']]",6867 Reviews,
Space Dye V-neck Batwing Sleeve Tee,SKU: swtee03200512398,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/19/158989308058a2b19b96d6f6b86134d749ba8fa45c_thumbnail_900x.webp,4.8,2460 Reviews,"[['', 'super soft, flowing luxurious fabric. Can be used as casual wear, as well as office and even evening attire! The versatility is astounding! Iam a size 12, and the Large size seems a tad big, yet I think its meant to be that way, Now I have large shoulders and chest, with a long torso, so it is a little short length wise. With all that in mind, anyone smaller than size 1o,12, go for the medium.', '4.8'], ['', 'The color on the model and the actual shirt are very different', '4.8'], ['', 'big and loose. im a usual size L or XL. i got a L and it’s oversized but i don’t mind! batwing sleeves and small hem. super soft and comfy!!', '4.8']]",2460 Reviews,
SHEIN Neon Orange Figure Graphic Drop Shoulder Oversized Tee,SKU: swtee07200330941,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/28/15880612753afc55518643767845347a09ea5a1668_thumbnail_900x.webp,None,3688 Reviews,"[['', 'Even my Grandma loved it. Go a size down it’s really big usually i’m a large but i got a medium and it’s still oversized!', 'None'], ['', 'This shirt needs to go on your Must Have List! It is cute and comfy. You can style it many ways! I cant wait to wear it out!', 'None'], ['', 'Love this top! It is very oversized but pairing with biker shorts was my idea so it works perfect! The material is more athletic than you would think but it’s really nice! I am 5’4 and 130lbs.', 'None']]",3688 Reviews,
SHEIN Men Letter Graphic Striped Tee,SKU: smtop07200324463,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/24/158769379634321b38cae5152e9fa00831a3cfe064_thumbnail_900x.webp,4.8,1377 Reviews,"[['', 'Nice', '4.8'], ['', 'My boyfriend likes it so much', '4.8'], ['', 'Nice colour & good material.', '4.8']]",1377 Reviews,
Alien Print Spiral Tie Dye Tee,SKU: swtee04200408990,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/22/15875229597f61f634d1fe716ddc6d17d989caeaf7_thumbnail_900x.webp,4.9,1097 Reviews,"[['', 'In love with the colors! Exactly like in the picture 🌈', '4.9'], ['', 'I love this t shirt !! The material wasn’t what I was expecting it’s kind of slinky but it’s still really nice. I went a couple sizes up because it’s all they had in stock at the time but it is great and has a nice longer length so is perfectly baggy', '4.9'], ['', 'Very soft material. Great colors - 5’7 and 180lbs the medium worked fine for me.', '4.9']]",1097 Reviews,
Floral Print Crop Tee,SKU: swtee00200507194,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/12/15892484368fc5a3748e612cc93bb476f1f7184a03_thumbnail_900x.webp,4.8,2227 Reviews,"[['', 'Super soft, good quality', '4.8'], ['', 'love this!!', '4.8'], ['', 'a lil see through but soft and less cropped than i thought it would be', '4.8']]",2227 Reviews,
California Graphic Short Sleeve Tee,SKU: swtee04200507285,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/01/1590976418c9a95ab39e65dba0667e4ba6d4d906ab_thumbnail_900x.webp,4.9,800 Reviews,"[['', 'It looks just like the picture but the material is weird, it feels like a running shirt', '4.9'], ['', 'I like it. It’s very comfortable', '4.9'], ['', 'very pretty good material, little bit see through but recommend!', '4.9']]",800 Reviews,
Letter & Butterfly Graphic Longline Tee,SKU: swtee04200622124,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/22/15928126500c32d9f754f93d18910dbdafab130e01_thumbnail_900x.webp,4.8,NEW,"[['', 'Love ittttt, with cycling shorts and belt its sooo hot', '4.8'], ['', 'cute design but way too oversized', '4.8'], ['', 'Super cute oversized tee, super comfy but slightly see through.', '4.8']]",NEW,
Butterfly Graphic Longline Tee,SKU: swtee04200424226,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/16/158961886706e2cde81697415a5de4979f27cfead7_thumbnail_900x.webp,4.9,3051 Reviews,"[['', 'very cute and pretty!!! got this to lounge around in and im very satisfied with it! material is very soft and not that see through. please spread awareness about BLM!! educate yourselves and donate or sign petitions! anything can help!', '4.9'], ['', 'Honestly love this shirt . I wore it with jeans & converse . I can’t wait for summer or this virus to be over . Because i bought so much clothes off of shein & this is one of my favorite purchases', '4.9'], ['', 'Very soft and nice', '4.9']]",3051 Reviews,
